GEO_ID,NAME,S1401_C01_001E
51001,"Accomack County, Virginia",6289
51003,"Albemarle County, Virginia",30066
51005,"Alleghany County, Virginia",2789
51007,"Amelia County, Virginia",2842
51009,"Amherst County, Virginia",6937
51011,"Appomattox County, Virginia",3414
51013,"Arlington County, Virginia",47747
51015,"Augusta County, Virginia",14635
51017,"Bath County, Virginia",674
51019,"Bedford County, Virginia",16849
51021,"Bland County, Virginia",1184
51023,"Botetourt County, Virginia",7157
51025,"Brunswick County, Virginia",3450
51027,"Buchanan County, Virginia",4166
51029,"Buckingham County, Virginia",3389
51031,"Campbell County, Virginia",11844
51033,"Caroline County, Virginia",6345
51035,"Carroll County, Virginia",5266
51036,"Charles City County, Virginia",1083
51037,"Charlotte County, Virginia",2489
51041,"Chesterfield County, Virginia",89159
51043,"Clarke County, Virginia",3123
51045,"Craig County, Virginia",837
51047,"Culpeper County, Virginia",11849
51049,"Cumberland County, Virginia",1955
51051,"Dickenson County, Virginia",2825
51053,"Dinwiddie County, Virginia",6200
51057,"Essex County, Virginia",2284
51059,"Fairfax County, Virginia",309020
51061,"Fauquier County, Virginia",16988
51063,"Floyd County, Virginia",2978
51065,"Fluvanna County, Virginia",6141
51067,"Franklin County, Virginia",11947
51069,"Frederick County, Virginia",19803
51071,"Giles County, Virginia",3412
51073,"Gloucester County, Virginia",7970
51075,"Goochland County, Virginia",4515
51077,"Grayson County, Virginia",2825
51079,"Greene County, Virginia",4714
51081,"Greensville County, Virginia",2342
51083,"Halifax County, Virginia",6945
51085,"Hanover County, Virginia",26862
51087,"Henrico County, Virginia",79305
51089,"Henry County, Virginia",10379
51091,"Highland County, Virginia",226
51093,"Isle of Wight County, Virginia",8451
51095,"James City County, Virginia",17583
51097,"King and Queen County, Virginia",1469
51099,"King George County, Virginia",6528
51101,"King William County, Virginia",4015
51103,"Lancaster County, Virginia",1776
51105,"Lee County, Virginia",4663
51107,"Loudoun County, Virginia",114987
51109,"Louisa County, Virginia",7007
51111,"Lunenburg County, Virginia",2329
51113,"Madison County, Virginia",2860
51115,"Mathews County, Virginia",1219
51117,"Mecklenburg County, Virginia",5453
51119,"Middlesex County, Virginia",1826
51121,"Montgomery County, Virginia",41131
51125,"Nelson County, Virginia",2684
51127,"New Kent County, Virginia",4516
51131,"Northampton County, Virginia",2018
51133,"Northumberland County, Virginia",1909
51135,"Nottoway County, Virginia",2781
51137,"Orange County, Virginia",7919
51139,"Page County, Virginia",4932
51141,"Patrick County, Virginia",3102
51143,"Pittsylvania County, Virginia",12546
51145,"Powhatan County, Virginia",5788
51147,"Prince Edward County, Virginia",8254
51149,"Prince George County, Virginia",9621
51153,"Prince William County, Virginia",132085
51155,"Pulaski County, Virginia",6390
51157,"Rappahannock County, Virginia",1374
51159,"Richmond County, Virginia",1847
51161,"Roanoke County, Virginia",21096
51163,"Rockbridge County, Virginia",3893
51165,"Rockingham County, Virginia",18426
51167,"Russell County, Virginia",5397
51169,"Scott County, Virginia",4246
51171,"Shenandoah County, Virginia",8952
51173,"Smyth County, Virginia",5892
51175,"Southampton County, Virginia",3799
51177,"Spotsylvania County, Virginia",34622
51179,"Stafford County, Virginia",41918
51181,"Surry County, Virginia",1220
51183,"Sussex County, Virginia",2383
51185,"Tazewell County, Virginia",8237
51187,"Warren County, Virginia",8518
51191,"Washington County, Virginia",11228
51193,"Westmoreland County, Virginia",3229
51195,"Wise County, Virginia",8409
51197,"Wythe County, Virginia",5676
51199,"York County, Virginia",18455
51510,"Alexandria city, Virginia",30273
51520,"Bristol city, Virginia",3491
51530,"Buena Vista city, Virginia",1730
51540,"Charlottesville city, Virginia",16109
51550,"Chesapeake city, Virginia",64207
51570,"Colonial Heights city, Virginia",3823
51580,"Covington city, Virginia",1068
51590,"Danville city, Virginia",10265
51595,"Emporia city, Virginia",1405
51600,"Fairfax city, Virginia",6166
51610,"Falls Church city, Virginia",4147
51620,"Franklin city, Virginia",2279
51630,"Fredericksburg city, Virginia",8746
51640,"Galax city, Virginia",1422
51650,"Hampton city, Virginia",36317
51660,"Harrisonburg city, Virginia",23767
51670,"Hopewell city, Virginia",5650
51678,"Lexington city, Virginia",4316
51680,"Lynchburg city, Virginia",30008
51683,"Manassas city, Virginia",10963
51685,"Manassas Park city, Virginia",4881
51690,"Martinsville city, Virginia",2914
51700,"Newport News city, Virginia",48658
51710,"Norfolk city, Virginia",65955
51720,"Norton city, Virginia",910
51730,"Petersburg city, Virginia",6496
51735,"Poquoson city, Virginia",3056
51740,"Portsmouth city, Virginia",23104
51750,"Radford city, Virginia",9201
51760,"Richmond city, Virginia",55798
51770,"Roanoke city, Virginia",21500
51775,"Salem city, Virginia",6751
51790,"Staunton city, Virginia",4800
51800,"Suffolk city, Virginia",23355
51810,"Virginia Beach city, Virginia",115377
51820,"Waynesboro city, Virginia",4836
51830,"Williamsburg city, Virginia",7226
51840,"Winchester city, Virginia",7174
