GEO_ID,NAME,S1401_C01_001E,S1401_C01_008E
51001,"Accomack County, Virginia",6289,984
51003,"Albemarle County, Virginia",30066,9215
51005,"Alleghany County, Virginia",2789,374
51007,"Amelia County, Virginia",2842,312
51009,"Amherst County, Virginia",6937,1776
51011,"Appomattox County, Virginia",3414,509
51013,"Arlington County, Virginia",47747,7206
51015,"Augusta County, Virginia",14635,1966
51017,"Bath County, Virginia",674,90
51019,"Bedford County, Virginia",16849,2725
51021,"Bland County, Virginia",1184,264
51023,"Botetourt County, Virginia",7157,1060
51025,"Brunswick County, Virginia",3450,838
51027,"Buchanan County, Virginia",4166,659
51029,"Buckingham County, Virginia",3389,487
51031,"Campbell County, Virginia",11844,2392
51033,"Caroline County, Virginia",6345,888
51035,"Carroll County, Virginia",5266,795
51036,"Charles City County, Virginia",1083,188
51037,"Charlotte County, Virginia",2489,353
51041,"Chesterfield County, Virginia",89159,17374
51043,"Clarke County, Virginia",3123,475
51045,"Craig County, Virginia",837,114
51047,"Culpeper County, Virginia",11849,1329
51049,"Cumberland County, Virginia",1955,387
51051,"Dickenson County, Virginia",2825,486
51053,"Dinwiddie County, Virginia",6200,1523
51057,"Essex County, Virginia",2284,507
51059,"Fairfax County, Virginia",309020,64619
51061,"Fauquier County, Virginia",16988,2682
51063,"Floyd County, Virginia",2978,277
51065,"Fluvanna County, Virginia",6141,1238
51067,"Franklin County, Virginia",11947,2807
51069,"Frederick County, Virginia",19803,2843
51071,"Giles County, Virginia",3412,505
51073,"Gloucester County, Virginia",7970,1550
51075,"Goochland County, Virginia",4515,611
51077,"Grayson County, Virginia",2825,438
51079,"Greene County, Virginia",4714,535
51081,"Greensville County, Virginia",2342,353
51083,"Halifax County, Virginia",6945,1151
51085,"Hanover County, Virginia",26862,5514
51087,"Henrico County, Virginia",79305,13804
51089,"Henry County, Virginia",10379,1869
51091,"Highland County, Virginia",226,14
51093,"Isle of Wight County, Virginia",8451,1816
51095,"James City County, Virginia",17583,3058
51097,"King and Queen County, Virginia",1469,300
51099,"King George County, Virginia",6528,913
51101,"King William County, Virginia",4015,605
51103,"Lancaster County, Virginia",1776,281
51105,"Lee County, Virginia",4663,870
51107,"Loudoun County, Virginia",114987,17320
51109,"Louisa County, Virginia",7007,873
51111,"Lunenburg County, Virginia",2329,392
51113,"Madison County, Virginia",2860,381
51115,"Mathews County, Virginia",1219,102
51117,"Mecklenburg County, Virginia",5453,635
51119,"Middlesex County, Virginia",1826,288
51121,"Montgomery County, Virginia",41131,23959
51125,"Nelson County, Virginia",2684,332
51127,"New Kent County, Virginia",4516,717
51131,"Northampton County, Virginia",2018,205
51133,"Northumberland County, Virginia",1909,304
51135,"Nottoway County, Virginia",2781,359
51137,"Orange County, Virginia",7919,1445
51139,"Page County, Virginia",4932,694
51141,"Patrick County, Virginia",3102,650
51143,"Pittsylvania County, Virginia",12546,2138
51145,"Powhatan County, Virginia",5788,828
51147,"Prince Edward County, Virginia",8254,5063
51149,"Prince George County, Virginia",9621,2196
51153,"Prince William County, Virginia",132085,25550
51155,"Pulaski County, Virginia",6390,1333
51157,"Rappahannock County, Virginia",1374,286
51159,"Richmond County, Virginia",1847,352
51161,"Roanoke County, Virginia",21096,3862
51163,"Rockbridge County, Virginia",3893,572
51165,"Rockingham County, Virginia",18426,4040
51167,"Russell County, Virginia",5397,878
51169,"Scott County, Virginia",4246,585
51171,"Shenandoah County, Virginia",8952,1488
51173,"Smyth County, Virginia",5892,921
51175,"Southampton County, Virginia",3799,656
51177,"Spotsylvania County, Virginia",34622,5820
51179,"Stafford County, Virginia",41918,7777
51181,"Surry County, Virginia",1220,146
51183,"Sussex County, Virginia",2383,240
51185,"Tazewell County, Virginia",8237,1595
51187,"Warren County, Virginia",8518,1574
51191,"Washington County, Virginia",11228,2328
51193,"Westmoreland County, Virginia",3229,552
51195,"Wise County, Virginia",8409,1792
51197,"Wythe County, Virginia",5676,776
51199,"York County, Virginia",18455,3569
51510,"Alexandria city, Virginia",30273,6414
51520,"Bristol city, Virginia",3491,608
51530,"Buena Vista city, Virginia",1730,780
51540,"Charlottesville city, Virginia",16109,8135
51550,"Chesapeake city, Virginia",64207,13615
51570,"Colonial Heights city, Virginia",3823,728
51580,"Covington city, Virginia",1068,151
51590,"Danville city, Virginia",10265,2254
51595,"Emporia city, Virginia",1405,248
51600,"Fairfax city, Virginia",6166,1601
51610,"Falls Church city, Virginia",4147,657
51620,"Franklin city, Virginia",2279,412
51630,"Fredericksburg city, Virginia",8746,3888
51640,"Galax city, Virginia",1422,213
51650,"Hampton city, Virginia",36317,11260
51660,"Harrisonburg city, Virginia",23767,16017
51670,"Hopewell city, Virginia",5650,1078
51678,"Lexington city, Virginia",4316,3639
51680,"Lynchburg city, Virginia",30008,15788
51683,"Manassas city, Virginia",10963,1991
51685,"Manassas Park city, Virginia",4881,948
51690,"Martinsville city, Virginia",2914,495
51700,"Newport News city, Virginia",48658,14370
51710,"Norfolk city, Virginia",65955,25128
51720,"Norton city, Virginia",910,181
51730,"Petersburg city, Virginia",6496,1227
51735,"Poquoson city, Virginia",3056,500
51740,"Portsmouth city, Virginia",23104,5024
51750,"Radford city, Virginia",9201,7125
51760,"Richmond city, Virginia",55798,20683
51770,"Roanoke city, Virginia",21500,3919
51775,"Salem city, Virginia",6751,2666
51790,"Staunton city, Virginia",4800,1095
51800,"Suffolk city, Virginia",23355,4446
51810,"Virginia Beach city, Virginia",115377,28741
51820,"Waynesboro city, Virginia",4836,662
51830,"Williamsburg city, Virginia",7226,5294
51840,"Winchester city, Virginia",7174,1804
